ChEMBL_ID,SMILES
CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl
CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1
CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1
CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1
CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1
CHEMBL6206,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12
CHEMBL268365,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1
CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl
CHEMBL6268,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1
CHEMBL268528,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1
CHEMBL415286,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1
CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1
CHEMBL6237,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1
CHEMBL6239,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl
CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl
CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1
CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1
CHEMBL6283,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1
CHEMBL6284,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1
CHEMBL6277,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1
CHEMBL268830,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1
CHEMBL6308,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1
CHEMBL268831,CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1
CHEMBL267915,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1
CHEMBL6346,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1
CHEMBL414181,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1
CHEMBL6334,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1
CHEMBL267358,C[C@]12CCC(=O)C=C1C(=O)CC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1
CHEMBL6201,Cn1c(CC(=O)O)cc(CO)c1C(=O)c1ccc(Cl)cc1
CHEMBL267913,C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1
CHEMBL266220,O=C(C1CCCCN1)N1CCN(Cc2ccncc2)CC1
CHEMBL6233,O=C(C1CCCCN1)N1CCN(Cc2ccccn2)CC1
CHEMBL6234,O=C([C@@H]1CCCN1)N1CCN(Cc2cccnc2)CC1
CHEMBL268598,O=C([C@@H]1CCCN1)N1CCN(Cc2ccccn2)CC1
CHEMBL6253,C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1
CHEMBL6204,COc1ccc(-c2c(-c3ccccn3)nc3n2CCC3)cc1
CHEMBL6229,CCc1cc2c(Sc3nnc(N)s3)ncnc2s1
CHEMBL6231,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
CHEMBL268889,c1ccc(-c2nc3n(c2-c2ccc4c(c2)OCO4)CCC3)nc1
CHEMBL266706,Fc1ccc(-c2c(-c3ccccn3)nc3n2CCS3)cc1
CHEMBL6304,Fc1ccc(-c2c(-c3ccccn3)nc3n2CCC3)cc1
CHEMBL266707,Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1
CHEMBL6294,Fc1ccc(-c2c(-c3cccnc3)nc3n2CCC3)cc1
CHEMBL269495,CCc1cc2c(Nc3nnc(C)s3)ncnc2s1
CHEMBL267678,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1
CHEMBL267914,Cc1ccc(Sc2ccnc3sc(C(N)=O)cc23)cc1
CHEMBL6248,COc1ccc2sc(C(N)=O)c(OC(C)C)c2c1
CHEMBL268530,Cc1ccc(Sc2cncc3sc(CO)cc23)cc1
CHEMBL6275,Cc1cc(C)cc(Sc2cncc3sc(C(N)=O)cc23)c1
CHEMBL267125,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1C
CHEMBL269497,Cc1cccc(Sc2cncc3sc(C(N)=O)cc23)c1
CHEMBL6278,Cc1ccccc1Sc1cncc2sc(C(N)=O)cc12
CHEMBL267456,NC(=O)c1cc2c(Sc3ccccc3)cncc2s1
CHEMBL6370,Cc1ccc(Sc2cncc3sc(C(=O)O)cc23)cc1
CHEMBL269075,CONC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1
CHEMBL263080,NC(=O)c1cc2c(Sc3ccccn3)cncc2s1
CHEMBL263081,COc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1
CHEMBL268567,NC(=O)c1cc2c(Sc3ccc(Cl)cc3)cncc2s1
CHEMBL6857,Brc1cccc2c3c([nH]c12)CNCC3
CHEMBL6404,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(F)c1
CHEMBL6320,Cc1ccc([S+]([O-])c2cncc3sc(C(N)=O)cc23)cc1
CHEMBL268667,NC(=O)Sc1cncc2sc(C(N)=O)cc12
CHEMBL269570,NC(=O)c1cc2c(SCc3ccc(Cl)cc3)cncc2s1
CHEMBL268099,NC(=O)c1cc2c(SC3CCCCC3)cncc2s1
CHEMBL267938,Cc1occc1Sc1cncc2sc(C(N)=O)cc12
CHEMBL268070,Cc1nnc(Sc2cncc3sc(C(N)=O)cc23)s1
CHEMBL6830,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)c(C)c1
CHEMBL415107,CCC(c1ccc(O)c(F)c1)C(CC)c1ccc(O)c(F)c1
CHEMBL6442,Cc1ccc(Sc2cccc3sc(C(N)=O)cc23)cc1
CHEMBL6426,Brc1cccc2[nH]c3c(c12)CCNC3
CHEMBL6427,Brc1ccc2[nH]c3c(c2c1)CCNC3
CHEMBL268691,COc1cc(Br)c2c3c([nH]c2c1)CNCC3
CHEMBL441891,Brc1ccc2c3c([nH]c2c1)CNCC3
CHEMBL266798,Cc1ccc(Sc2nccc3sc(C(N)=O)cc23)cc1
CHEMBL6430,CCc1cc2c(NCc3ccccc3)ncnc2s1
CHEMBL267036,CNC(=O)NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O
CHEMBL6386,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O
CHEMBL268387,Cc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)nn1
CHEMBL6389,O=C1N(CN2CCCCC2)c2ccccc2C12SCCS2
CHEMBL6616,COc1cc(CC(C)N)c(OC)cc1I
CHEMBL6548,O=C1Nc2ccc(Br)cc2C12SCCS2
CHEMBL266316,O=C1Nc2c(C(F)(F)F)cccc2C12OCCO2
CHEMBL267458,Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C
CHEMBL6446,COc1ccc(C2CN3CCN(C)CC3c3ccccc32)cc1
CHEMBL6399,CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12
CHEMBL6459,CN1CCN2CC(c3ccc(Cl)cc3)c3ccccc3C2C1
CHEMBL6570,Nc1nc(N)c2nc(Sc3cccc(C(F)(F)F)c3)cnc2n1
CHEMBL6368,CC(N)Cc1ccc(I)cc1
CHEMBL6627,CN1CCN2CC(c3ccccc3)c3ccccc3C2C1
CHEMBL404992,CCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1
CHEMBL6732,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(Br)c1
CHEMBL266927,COc1cc2nc(N3CCC(C(N)=O)CC3)nc(N)c2cc1OC
CHEMBL267833,O=C1Nc2ccc(I)cc2C12OCCO2
CHEMBL414200,CN(C)c1cccc2c(S(=O)(=O)Nc3cccnn3)cccc12
CHEMBL6677,CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)[C@@H]1O
CHEMBL6649,CNCC1NCC(c2ccccc2)c2ccccc21
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1
CHEMBL6528,CN(C)CC1c2ccccc2C(c2ccccc2)CN1C
CHEMBL6463,Cc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)nc1
CHEMBL6464,O=C1N(CN2CCCCC2)c2ccccc2C12OCCO2
CHEMBL6544,Nc1nc(N)c2nc(Sc3ccc(Cl)c(Cl)c3)cnc2n1
CHEMBL6468,CN(C)c1cccc2c(S(=O)(=O)Nc3ncccn3)cccc12
CHEMBL268855,CN(C)c1cccc2c(S(=O)(=O)Nc3ccccn3)cccc12
CHEMBL263881,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
CHEMBL6631,COc1ccc(Sc2cnc3nc(N)nc(N)c3n2)cc1
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21
CHEMBL6482,CCCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1
CHEMBL414182,CN(C)CC1NCC(c2ccccc2)c2ccccc21
CHEMBL6603,CCNCC1NCC(c2ccccc2)c2ccccc21
CHEMBL268626,CCCOC(=O)c1ncn2c1CN(C)C(=O)c1sccc1-2
CHEMBL6460,O=C1N(CN2CCOCC2)c2ccccc2C12OCCO2
CHEMBL415290,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CHEMBL266541,O=C1N(CN2CCCC2)c2ccccc2C12OCCO2
CHEMBL6486,CCOC(=O)CNC(=O)c1cc(-c2ccncc2)nnc1Cl
CHEMBL6546,O=C1N(Cc2ccccc2)c2ccccc2C12OCCO2
CHEMBL6747,CCN1CCN2CC(c3ccccc3)c3ccccc3C2C1
CHEMBL6455,CN1CCN2CC(c3ccc(N)cc3)c3ccccc3C2C1
CHEMBL540195,CN1CCN2CC(c3ccc(O)cc3)c3ccccc3C2C1
CHEMBL6445,c1ccc(C2CN3CCNCC3c3ccccc32)cc1
CHEMBL6551,O=C(NCc1ccccc1)c1cc(-c2ccncc2)nnc1Cl
CHEMBL266957,Cc1cc(=O)n(C(=O)OC(C)(C)C)c2c3c(ccc12)OC(C)(C)C=C3
CHEMBL6619,Oc1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1
CHEMBL6413,Oc1ccc(C(=C(C(F)(F)F)C(F)(F)F)c2ccccc2)cc1
CHEMBL6414,CN(C)c1cccc2c(S(=O)(=O)Nc3cccnc3)cccc12
CHEMBL6843,CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL268176,O=C(CCl)Nc1ccc(C2CC3CCC2N3)cn1
CHEMBL6462,CC(=O)NC[C@H]1CN(c2ccc(C(C)=O)cc2)C(=O)O1
CHEMBL268454,NC(=O)c1cc(-c2ccc(Br)cc2)nnc1Cl
CHEMBL6582,NC(=O)c1cc(-c2ccc(Cl)cc2)nnc1Cl
CHEMBL6423,NC(=O)c1cc(-c2ccc(F)c(Cl)c2)nnc1Cl
CHEMBL6538,COc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1
CHEMBL269599,CS(=O)(=O)c1c(F)cc(-c2cc(C(N)=O)c(Cl)nn2)cc1F
CHEMBL268455,CN(C)C(=O)c1cc(-c2ccncc2)nnc1Cl
CHEMBL6583,Cc1cnc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)cn1
CHEMBL266661,CCOC(=O)c1cc(-c2ccncc2)nnc1Cl
CHEMBL6720,O=C1Nc2ccc(Br)cc2C12OCCO2
CHEMBL6791,NC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)nnc1Cl
CHEMBL6946,Nc1ccc(S(=O)(=O)Nc2ccccc2S(N)(=O)=O)cc1
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL266473,CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1
CHEMBL7289,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1
CHEMBL266359,O=C1N(CN2CCOCC2)c2ccccc2C12SCCS2
CHEMBL268098,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3
CHEMBL267142,N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1
CHEMBL6876,CCC(c1ccc(O)cc1)C(CCBr)c1ccc(O)cc1
CHEMBL6805,Cc1c(-c2ccc(Cl)cc2)nnc(Cl)c1C(N)=O
CHEMBL6440,CN1Cc2c(C(=O)OCC3CC3)ncn2-c2ccc(Cl)cc2C1=O
CHEMBL6441,CC1=CC(C)(C)Nc2cc3oc(=O)cc(C(F)(F)F)c3cc21
CHEMBL6530,CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21
CHEMBL6855,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21
CHEMBL6907,C[C@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl
CHEMBL6861,CC(C)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
CHEMBL6862,CCCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
CHEMBL7192,CCC(c1ccc(O)cc1)C(CCF)c1ccc(O)cc1
CHEMBL7203,CCC(c1ccc(O)cc1)C(CCCl)c1ccc(O)cc1
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
CHEMBL6752,COC(=O)c1ncn2c1CN(C)C(=O)c1sccc1-2
CHEMBL6654,CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C
CHEMBL267665,CCOC(=O)c1ncn2c1CN(C)C(=O)c1ccccc1-2
CHEMBL412,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
CHEMBL6916,CC(=O)N1CCN(c2cnc3cc(Cl)ccc3n2)CC1
CHEMBL6992,CN1CCN(c2cnc3cc(Cl)ccc3n2)CC1
CHEMBL6606,CS(=O)(=O)c1ccc2nc(N3CCNCC3)cnc2c1
CHEMBL6633,Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1
CHEMBL6635,CCO[C@H]1O[C@@H]2O[C@@]3(C)CCC4[C@H](C)CCC([C@H]1C)[C@]42OO3
CHEMBL6587,Cl.c1ccc(COc2noc3c2CNCC3)cc1
CHEMBL6387,CCCNc1ncnc2c1ncn2Cc1ccccc1F
CHEMBL269366,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
CHEMBL269774,CCNc1ncnc2c1ncn2Cc1ccccc1F
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
CHEMBL6837,Brc1ccc2nc(N3CCNCC3)cnc2c1
