ID,Category,Input_SMILES,Output_SMILES,Tanimoto,Interpretation
17,High_Similarity_0_7_to_1_0,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CC(=O)C[C@H]1C(=O)N(C)C,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,0.7887,High similarity (0.789): Minor structural rearrangements.
21,High_Similarity_0_7_to_1_0,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@H](C)[C@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.7500,High similarity (0.750): Minor structural rearrangements.
66,High_Similarity_0_7_to_1_0,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@H](C)[C@@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.7500,High similarity (0.750): Minor structural rearrangements.
81,High_Similarity_0_7_to_1_0,Nc1nc(N)c2c(n1)CCC(Cc1cccc(OC(F)(F)F)c1)C2,Nc1nc(N)c2c(n1)CCC(Cc1ccc(OC(F)(F)F)cc1)C2,0.7692,High similarity (0.769): Minor structural rearrangements.
125,High_Similarity_0_7_to_1_0,Cc1cc(C(=O)N2CCCC(C)c3ccccc32)ccc1CNC(=O)N1CCC[C@H]1C(=O)N(C)C,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,0.7714,High similarity (0.771): Minor structural rearrangements.
249,High_Similarity_0_7_to_1_0,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C(C)C)[C@@H](C)[C@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.7143,High similarity (0.714): Minor structural rearrangements.
318,High_Similarity_0_7_to_1_0,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@@H](C)[C@H](C)[C@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.7500,High similarity (0.750): Minor structural rearrangements.
0,Low_Similarity_Below_0_4,COc1cc(Br)cc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1398,Low similarity (0.140): Major reconstruction errors.
1,Low_Similarity_Below_0_4,CC(O)(c1ccc(Cl)cc1)C(O)(Cn1ccnc1)c1ccc(F)cc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,0.1379,Low similarity (0.138): Major reconstruction errors.
2,Low_Similarity_Below_0_4,COc1ccc2c3c1OC1[C@H]4OC[C@@]4(CCc4ccccc4)CC4C(C2)N(C)CCC341,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1275,Low similarity (0.127): Major reconstruction errors.
