id,smiles_in,smiles_out,valid_out,exact_match,tanimoto,delta_atoms,delta_bonds,delta_rings,delta_aromatic,delta_heteroatoms,atoms_in,atoms_out
0,COc1cc(Br)cc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.13978494623655913,2.0,4.0,2.0,0.0,-1.0,28,30.0
1,CC(O)(c1ccc(Cl)cc1)C(O)(Cn1ccnc1)c1ccc(F)cc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,1,0,0.13793103448275862,7.0,8.0,1.0,-5.0,1.0,25,32.0
2,COc1ccc2c3c1OC1[C@H]4OC[C@@]4(CCc4ccccc4)CC4C(C2)N(C)CCC341,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.12745098039215685,-1.0,-3.0,-2.0,0.0,2.0,31,30.0
3,COc1cccc2c1C(CN(C)CCc1ccc3c(c1)OCO3)CCC2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.27380952380952384,4.0,5.0,1.0,0.0,2.0,26,30.0
4,CCc1nnc2c(NCC(C)O)nc3ccccc3n12,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.07954545454545454,8.0,9.0,1.0,-3.0,-1.0,20,28.0
5,COc1ccc(Cl)c(C2(F)C(=O)Nc3c(C(F)(F)F)cccc32)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.17857142857142858,6.0,8.0,2.0,0.0,-2.0,24,30.0
6,COc1ccc(S(=O)(=O)N2CCCc3ccc(Br)cc32)cc1N1CCNCC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.12903225806451613,2.0,3.0,1.0,0.0,-2.0,28,30.0
7,COc1ccccc1N1CCN(CCCC2=CCCc3ccccc32)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.1111111111111111,3.0,4.0,1.0,0.0,3.0,27,30.0
8,CCc1cccc(NC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)CC(C)N3C(C)=O)c1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.08571428571428572,-4.0,-4.0,0.0,-2.0,-3.0,32,28.0
9,CC1=C(c2ccc(C(C)C)cc2)S(=O)(=O)N=C1N1CCC(C(=O)NCc2ccc(C)o2)CC1,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,1,0,0.1650485436893204,1.0,1.0,0.0,1.0,-1.0,33,34.0
10,COc1ccc2[nH]c(-c3ccccc3)c(CCNC(=O)C(F)(F)F)c2c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.17045454545454544,4.0,6.0,2.0,-3.0,-1.0,26,30.0
11,CCN(CC)C(=O)C1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.0967741935483871,0.0,1.0,1.0,0.0,-3.0,28,28.0
12,Cc1c(C(=O)NCCN(C)C)oc2ccc(S(=O)(=O)N3CCC4(CC3)OCCO4)cc12,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,1,0,0.10752688172043011,-6.0,-7.0,-1.0,9.0,-2.0,31,25.0
13,O=C(O)C1Cc2cc3c(-c4ccc(F)cc4)noc3c(Cl)c2O1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,1,0,0.11627906976744186,4.0,3.0,-1.0,-9.0,0.0,23,27.0
14,CCNc1cccnc1N1CCN(C(=O)c2cnccn2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.07608695652173914,5.0,6.0,1.0,-2.0,-2.0,23,28.0
15,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(C#N)nn3)cccc12,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,1,0,0.1527777777777778,-4.0,-4.0,0.0,-1.0,-2.0,25,21.0
16,O=C(CN1CCCCC1)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,1,0,0.09574468085106383,-8.0,-10.0,-2.0,7.0,1.0,32,24.0
17,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CC(=O)C[C@H]1C(=O)N(C)C,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,1,0,0.7887323943661971,-1.0,-1.0,0.0,0.0,-1.0,35,34.0
18,NS(=O)(=O)c1cc(C(=O)NN2Cc3ccccc3C2CO)ccc1Cl,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,1,0,0.11904761904761904,-5.0,-5.0,0.0,3.0,-2.0,25,20.0
19,O=C1NC(=O)C(CC#Cc2ccccc2Cl)(S(=O)(=O)c2ccccc2)S1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,1,0,0.11688311688311688,-2.0,-2.0,0.0,6.0,0.0,26,24.0
20,CC1(C)N=C(N)N=C(N)N1c1cccc(C(F)(F)F)c1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.10465116279069768,12.0,14.0,2.0,6.0,-1.0,20,32.0
21,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@H](C)[C@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.75,1.0,1.0,0.0,0.0,0.0,27,28.0
22,CN1CCCC(CC(=O)N2CCN([C@@H]3c4ccc(Cl)cc4CCc4cccnc43)CC2)C1,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,1,0,0.11702127659574468,-11.0,-13.0,-2.0,-12.0,-1.0,32,21.0
23,CC[C@@H]1Cc2cc(C)n(CC(=O)NCc3ccc(N)nc3C)c(=O)c2NC1=O,,0,0,NA,NA,NA,NA,NA,NA,28,NA
24,COc1ccc2c(c1OC)CCC[C@H]2CN(C)CCc1ccc2c(c1)OCO2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.2558139534883721,2.0,3.0,1.0,0.0,1.0,28,30.0
25,COc1c(Cl)cc(F)cc1CC1CNC(=O)CN(S(=O)(=O)c2ccc(Cl)cc2)C1=O,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.1595744680851064,0.0,2.0,2.0,0.0,-5.0,30,30.0
26,Cc1ccc(N2CC(C(=O)N3CCC(C(=O)Nc4nnc(C(C)(C)C)s4)CC3)CC2=O)cc1,Cc1ccccc1C(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N(C)C(C)C)cc2)CC1,1,0,0.2558139534883721,-1.0,-2.0,-1.0,1.0,-1.0,33,32.0
27,CC(=O)NC(=S)NC[C@@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)Nc4ccccn4)CC3)c(F)c2)C(=O)O1,1,0,0.17307692307692307,8.0,8.0,0.0,3.0,5.0,25,33.0
28,CN(C)c1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1sc2c(c1C#N)CCC2,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Cl)cn3)cccc12,1,0,0.14444444444444443,-7.0,-8.0,-1.0,5.0,-2.0,31,24.0
29,O=C(O)CC(=O)N1CCC(C(=O)N2CCC3(CC2)CCN(c2ccncc2)C3)CC1,O=C(O)CCCCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1,1,0,0.5423728813559322,-3.0,-4.0,-1.0,0.0,-2.0,30,27.0
30,COc1cc(C2c3cc4c(cc3N=C3COC(=O)N32)OCO4)cc(OC)c1OC,,0,0,NA,NA,NA,NA,NA,NA,29,NA
31,CC(C)[C@H](N)c1cccc(F)c1N1CCN(C(=O)[C@@H]2NCC[C@@H]2c2ccc(Cl)cc2)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,32,32.0
32,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,1,0,0.13829787234042554,9.0,10.0,1.0,-6.0,-1.0,25,34.0
33,CCCC(=O)Nc1ccc(Cc2cccc3c2CCO3)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.10227272727272728,6.0,7.0,1.0,-2.0,2.0,22,28.0
34,CC(=O)N1CCN(c2cnc3cc(Cl)ccc3n2)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.24358974358974358,12.0,13.0,1.0,2.0,1.0,20,32.0
35,CC(C)(C)NC(=O)C1CN(S(=O)(=O)c2ccccc2)CCN1S(=O)(=O)c1ccccc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.13793103448275862,1.0,2.0,1.0,0.0,-3.0,31,32.0
36,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(Br)cc1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.12222222222222222,3.0,5.0,2.0,0.0,-2.0,27,30.0
37,CC(C)(C)Nc1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.1595744680851064,4.0,4.0,0.0,-3.0,1.0,28,32.0
38,CN1CCC(CC(=O)N2CCN([C@H]3c4ccc(Cl)cc4CCc4cccnc43)CC2)CC1,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,1,0,0.1111111111111111,-11.0,-13.0,-2.0,-12.0,-1.0,32,21.0
39,CN1CC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CN(C)S1(=O)=O,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,1,0,0.10204081632653061,-11.0,-12.0,-1.0,-11.0,-5.0,32,21.0
40,O=S(=O)(NCC1OCCc2ccccc21)c1ccc(S(=O)(=O)N2CCOCC2)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.07526881720430108,-2.0,-2.0,0.0,-2.0,-5.0,30,28.0
41,O=C(O)C1Nc2cc(Cl)cc(Cl)c2S(=O)(=O)N1Cc1ccc(C(F)(F)F)cc1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,1,0,0.12643678160919541,-1.0,-1.0,0.0,-6.0,-5.0,28,27.0
42,COc1ccnc(C[S+]([O-])c2nc3cc4c(cc3[nH]2)OC(F)(F)O4)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.16853932584269662,5.0,6.0,1.0,-3.0,-4.0,25,30.0
43,COc1cc2nc(N3CCC(C(=O)N4CCOCC4)CC3)nc(N)c2cc1OC,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.13043478260869565,1.0,2.0,1.0,2.0,-3.0,29,30.0
44,Nc1nc(O)c2nc(N)n(CC3CCCCC3)c2n1,,0,0,NA,NA,NA,NA,NA,NA,19,NA
45,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,1,0,0.12643678160919541,-1.0,0.0,1.0,-1.0,0.0,27,26.0
46,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1cccc(Br)c1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,1,0,0.11904761904761904,1.0,0.0,-1.0,-6.0,2.0,26,27.0
47,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,O=C(O)CCCCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1,1,0,0.10256410256410256,3.0,3.0,0.0,-12.0,-2.0,24,27.0
