B B
B1CCCO1 C1CO[BH:1]C1
BO B[OH:1]
BO O[BH2:1]
C C
C#C C#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C1=CC=CC=C1 C1=CC=[CH:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1]C=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=CCCCO[CH2:1]CCCCCCCCCCCCOCCCCC=CC=CC=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=CCC[CH2:1]COCCCCCCCCCCCCCOCCCC=CC=CC=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=CCC[CH2:1]OCCCCCCCCCCCCCOCCCCC=CC=CC=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=CCC[CH2:1][O:1][CH2:1]CCCCCCCCCCCCOCCCCC=CC=CC=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=C[CH2:1]CCCOCCCCCCCCCCCCCOCCCC=CC=CC=C1
C1=CC=CC=CC=CCCCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1 C1=CC=CC=CC=C[CH2:1]CCOCCCCCCCCCCCCCOCCCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCCCCCCCC=CC=CC=C1 C1=CC=CC=CC=C[CH2:1]COCCCCCCCCCCCCCCCCCCCCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCOCCCC=CC=CC=C1 C1=CC=CC=CC=CCCOCCCCCCCCCCCCCC[CH2:1]OCCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCOCCCC=CC=CC=C1 C1=CC=CC=CC=CCC[CH2:1]OCCCCCCCCCCCCCCCOCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCOCCCC=CC=CC=C1 C1=CC=CC=CC=CCC[CH2:1][O:1][CH2:1]CCCCCCCCCCCCCCOCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCOCCCC=CC=CC=C1 C1=CC=CC=CC=CC[CH2:1]OCCCCCCCCCCCCCCCOCCCC=CC=CC=C1
C1=CC=CC=CC=CCCOCCCCCCCCCCCCCCCOCCCC=CC=CC=C1 C1=CC=CC=CC=C[CH2:1]COCCCCCCCCCCCCCCCOCCCC=CC=CC=C1
C1=CC=CC=CCCCCCCCCCCCCCCCCCCC=CCCOCC=CC=CC=C1 C1=CC=CC=CCCCCCCCCCCCCCCCCCCC=C[CH2:1]COCC=CC=CC=C1
C1=CC=CC=CCCOCCCCCCCCCCCCCCCC=CC=C1 C1=CC=CC=CCCOC[CH2:1]CCCCCCCCCCCCCC=CC=C1
C1=CC=CCC=C1 C1=CCC=[CH:1]C=C1
C1=CC=CCCC=CC=CCCCCOCCCCCCCCCCCCCOCCCC=CC=C1 C1=CC=CCCC=CC=CCCCCOCCCCCCCCCCCCCOCC[CH2:1]C=CC=C1
C1=CC=CCCC=CC=CCCCCOCCCCCCCCCCCCCOCCCC=CC=C1 C1=CC=CCCC=CC=CCC[CH2:1]COCCCCCCCCCCCCCOCCCC=CC=C1
C1=CC=CCCC=CC=CCCCCOCCCCCCCCCCCCCOCCCC=CC=C1 C1=CC=CCCC=CC=C[CH2:1]CCCOCCCCCCCCCCCCCOCCCC=CC=C1
C1=CC=CCCCOCCCCCCC=CCOCCC=CC=C1 C1=CC=CCCCOCCCCCCC=CCO[CH2:1]CC=CC=C1
C1=CC=CCCCOCCCCCCC=CCOCCC=CC=C1 C1=CC=CCCOCC=CCCCCCCOCC[CH2:1]C=CC=C1
C1=CC=CCCCOCCCNCCOCCCCC=CCCCCCCC=C1 C1=CC=C[CH2:1]CCOCCCNCCOCCCCC=CCCCCCCC=C1
C1=CC=NC=C1 C1=CC=[CH:1]N=C1
C1=CC=NC=C1 C1=CN=C[CH:1]=C1
C1=CC=NC=C1 C1=CN=[CH:1]C=C1
C1=CC=NC=C1 C1=CN=[CH:1][CH:1]=C1
C1=CC=NC=C1 C1=C[CH:1]=CC=N1
C1=CC=NC=C1 C1=C[CH:1]=CN=C1
C1=CC=NC=C1 C1=NC=[CH:1][CH:1]=C1
C1=CC=[NH+]C=C1 C1=CC=[CH:1][NH+]=C1
C1=CC=[NH+]C=C1 C1=CC=[NH+:1]C=C1
C1=CCC=CC1 C1=CC[CH:1]=CC1
C1=CCC=CC1 C1=CC[CH:1]=[CH:1]C1
C1=CCC=CC1 C1=C[CH2:1]C=CC1
C1=CCCC=C1 C1=CCC[CH:1]=C1
C1=CCCC=C1 C1=CC[CH2:1]C=C1
C1=CCCC=C1 C1=CC[CH2:1][CH:1]=C1
C1=CCCC=C1 C1=C[CH2:1][CH2:1]C=C1
C1=CCCC=C1 C1=C[CH:1]=CCC1
C1=CCCCC1 C1=CC[CH2:1]CC1
C1=CCCCC1 C1=CC[CH2:1][CH2:1]C1
C1=CCCCC1 C1=C[CH2:1]CCC1
C1=CCCCC1 C1=C[CH2:1][CH2:1]CC1
C1=CCCCC1 C1=[CH:1]CCCC1
C1=CCCCC1 C1=[CH:1][CH2:1]CCC1
C1=CCCCC1 C1CC[CH:1]=[CH:1]C1
C1=CCCCCC=CC=CCOCCC=C1 C1=CCCCCC=CC=[CH:1]COCCC=C1
C1=CCCCCCCCCCCCCC=CCOCCCCCCC=C1 C1=CCCCCCCCCCCCCC=CCOCCCCC[CH2:1]C=C1
C1=CCCCCCCCCCOCCCCCCCCCCCCC=CCCCOCCC=C1 C1=CCCCCCCCCCOCCCCCCCCCCCCC=CCCCO[CH2:1]CC=C1
C1=CCCCCCOCCCCC=C1 C1=CCCCCCO[CH2:1]CCCC=C1
C1=CCCCCCOCCCCCCCC1 C1=CCCCC[CH2:1]OCCCCCCCC1
C1=CCCCCOCC=CCCC1 C1=CCCC[CH2:1]OCC=CCCC1
C1=CCCCCOCCCOCC=CCCCC1 C1=CCCC[CH2:1]OCCCOCC=CCCCC1
C1=CCCCOCCCNCCNCCNCCC1 C1=[CH:1]CCCNCCNCCNCCCOCCC1
C1=CCCN=C1 C1=CC[CH2:1]N=C1
C1=CCCN=C1 C1=C[CH2:1]CN=C1
C1=CCCN=C1 C1=C[CH2:1][CH2:1]N=C1
C1=CCCN=C1 C1=NCC[CH:1]=C1
C1=CCC[NH+]=C1 C1=CCC[NH+:1]=C1
C1=CCNC=C1 C1=CC[NH:1]C=C1
C1=CCNC=C1 C1=CNC[CH:1]=C1
C1=CCNC=C1 C1=C[CH:1]=CCN1
C1=CCNCC1 C1=[CH:1]CCNC1
C1=CCNCC1 C1=[CH:1]CNCC1
C1=CCNCC1 C1C[CH:1]=[CH:1]CN1
C1=CCNCCC1 C1=C[CH2:1]CCNC1
C1=CCNCCNCCCOCCOCC1 C1=CCN[CH2:1]CNCCCOCCOCC1
C1=CCNN=C1 C1=C[CH:1]=NNC1
C1=CCOC1 C1=[CH:1]COC1
C1=CCOC1 C1OC[CH:1]=[CH:1]1
C1=CCOC=C1 C1=CCO[CH:1]=C1
C1=CCOC=C1 C1=CO[CH2:1]C=C1
C1=CCOC=C1 C1=C[CH:1]=COC1
C1=CCOC=C1 C1=C[CH:1]=[CH:1]OC1
C1=CCOCC1 C1=CC[CH2:1]OC1
C1=CCOCC1 C1=C[CH2:1]COC1
C1=CCOCC1 C1=C[CH2:1]OCC1
C1=CCOCC1 C1=C[CH2:1][O:1][CH2:1]C1
C1=CN=CCC1 C1=CN=C[CH2:1]C1
C1=CN=CCC1 C1=C[CH2:1]CC=N1
C1=CN=CCC1 C1=C[CH2:1][CH2:1]C=N1
C1=CN=CN=C1 C1=CN=[CH:1]N=C1
C1=CN=CN=C1 C1=C[CH:1]=NC=N1
C1=CN=CN=C1 C1=NC=N[CH:1]=C1
C1=CN=CN=C1 C1=NC=[CH:1]C=N1
C1=CN=CN=C1 C1=NC=[CH:1][CH:1]=N1
C1=CN=CNC1 C1=NC=[CH:1]CN1
C1=CN=CNC1 C1=N[CH:1]=CCN1
C1=CN=CNC1 C1=N[CH:1]=[CH:1]CN1
C1=CNC=C1 C1=CN[CH:1]=C1
C1=CNC=C1 C1=C[CH:1]=CN1
C1=CNC=C1 C1=C[CH:1]=[CH:1]N1
C1=CNC=N1 C1=CN[CH:1]=N1
C1=CNC=N1 C1=C[NH:1]C=N1
C1=CNC=N1 C1=C[NH:1][CH:1]=N1
C1=CNC=N1 C1=NC=[CH:1]N1
C1=CNC=N1 C1=N[CH:1]=CN1
C1=CNC=N1 C1=N[CH:1]=[CH:1]N1
C1=CNCC1 C1=CN[CH2:1]C1
C1=CNCC1 C1=C[CH2:1]CN1
C1=CNCC1 C1=C[CH2:1][CH2:1]N1
C1=CNCC1 C1=C[NH:1]CC1
C1=CNCC1 C1=[CH:1]CCN1
C1=CNCC1 C1=[CH:1]NCC1
C1=CNCC=N1 C1=CNC[CH:1]=N1
C1=CNCC=N1 C1=CN[CH2:1]C=N1
C1=CNCC=N1 C1=CN[CH2:1][CH:1]=N1
C1=CNCN=C1 C1=C[NH:1]CN=C1
C1=CNCN=C1 C1=NCN[CH:1]=C1
C1=CNCNC1 C1=C[NH:1]CNC1
C1=CNCNC1 C1=[CH:1]CNCN1
C1=CNCNC1 C1=[CH:1]NCNC1
C1=CNN=C1 C1=C[CH:1]=NN1
C1=CNN=C1 C1=C[NH:1]N=C1
C1=CNN=C1 C1=NNC=[CH:1]1
C1=CNN=C1 C1=NN[CH:1]=C1
C1=CNN=N1 C1=C[NH:1]N=N1
C1=CNN=N1 C1=[CH:1]N=NN1
C1=CNNC1 C1=[CH:1]CNN1
C1=CNNC1 C1=[CH:1]NNC1
C1=COC=C1 C1=CO[CH:1]=C1
C1=COC=C1 C1=C[CH:1]=CO1
C1=COC=C1 C1=C[CH:1]=[CH:1]O1
C1=COC=N1 C1=CO[CH:1]=N1
C1=COC=N1 C1=N[CH:1]=CO1
C1=COCC1 C1=CO[CH2:1]C1
C1=COCC1 C1=C[CH2:1]CO1
C1=COCC1 C1=C[CH2:1][CH2:1]O1
C1=COCC1 C1=[CH:1]CCO1
C1=COCC1 C1=[CH:1]OCC1
C1=COCC1 C1C[CH:1]=[CH:1]O1
C1=COCCC1 C1=[CH:1]CCCO1
C1=COCCC1 C1=[CH:1]OCCC1
C1=COCCC1 C1CO[CH:1]=[CH:1]C1
C1=CON=C1 C1=NOC=[CH:1]1
C1=CON=C1 C1=NO[CH:1]=C1
C1=CON=C1 C1=NO[CH:1]=[CH:1]1
C1=CSC=C1 C1=CS[CH:1]=C1
C1=CSC=C1 C1=C[CH:1]=CS1
C1=CSC=C1 C1=C[CH:1]=[CH:1]S1
C1=CSC=N1 C1=CS[CH:1]=N1
C1=CSC=N1 C1=N[CH:1]=CS1
C1=CSCC1 C1=[CH:1]CCS1
C1=CSCC1 C1=[CH:1]SCC1
C1=CSCN1 C1=CS[CH2:1]N1
C1=CSCN1 C1=C[NH:1]CS1
C1=CSCN1 C1=C[NH:1][CH2:1]S1
C1=CSN=C1 C1=NS[CH:1]=C1
