ChEMBL_ID,SMILES
CHEMBL268878,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1.CS(=O)(=O)O
CHEMBL266211,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1.CS(=O)(=O)O
CHEMBL266674,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1.CS(=O)(=O)O
CHEMBL7264,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1.CS(=O)(=O)O
CHEMBL8421,Cn1cc(C2=NCC3(CC4CCC(C3)[N+]4(C)C)O2)c2ccccc21.[I-]
CHEMBL8776,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C(=O)N2CCOCC2)cc1
CHEMBL10537,COc1cc(NC(=O)COc2ccc(Cl)cc2)c(Cl)cc1C(=O)N1CCN(C)CC1
CHEMBL11943,COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(cc3C1C2)OCO4.[I-]
CHEMBL12194,Cc1ccc(S(=O)(=O)C2(CC#Cc3ccc(C(F)(F)F)cc3)SC(=O)NC2=O)cc1
CHEMBL443210,CCN1CCCC1CNC(=O)c1ccc(-n2ccnc2)cc1.Cc1ccc(S(=O)(=O)O)cc1
CHEMBL11988,CC1(C)C=C(n2ccccc2=O)c2cc(S(=O)(=O)NC(=O)NC3CCCCC3)ccc2O1
CHEMBL12936,CCOC(=O)c1cn(NC)c2cc(N3CCN(C)CC3)c(F)cc2c1=O.CS(=O)(=O)O
CHEMBL269421,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1.O=C(O)C(O)C(O)C(=O)O
CHEMBL413313,C[C@]1(c2ccc(F)cc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL13977,C[C@@]1(c2ccc(F)cc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL16672,CCCc1ccc2c(c1)CC=C(c1ccccc1)C(N1CCN(CC)CC1)=N2.O=C(O)/C=C/C(=O)O
CHEMBL16845,O=C(O)/C=C/C(=O)O.OCCN1CCN(C2=Nc3ccccc3CC=C2c2cccc(C(F)(F)F)c2)CC1
CHEMBL16916,CN1CCN(C2=Nc3ccccc3CC=C2c2cccc(C(F)(F)F)c2)CC1.O=C(O)/C=C/C(=O)O
CHEMBL16736,CCN1CCN(C2=Nc3ccc(C(C)C)cc3CC=C2c2ccccc2)CC1.O=C(O)/C=C/C(=O)O
CHEMBL16624,Clc1ccc(C2=CCc3ccc(Cl)cc3N=C2N2CCNCC2)cc1.O=C(O)/C=C/C(=O)O
CHEMBL16588,CCc1ccc2c(c1)CC=C(c1ccccc1)C(N1CCN(C(C)C)CC1)=N2.O=C(O)/C=C/C(=O)O
CHEMBL17018,Brc1ccc2c(c1)CC=C(c1ccccc1)C(N1CCNCC1)=N2.O=C(O)/C=C/C(=O)O
CHEMBL16822,COc1ccc(C2=CCc3ccccc3N=C2N2CCN(C)CC2)cc1.O=C(O)/C=C/C(=O)O
CHEMBL16635,CCCN1CCN(C2=Nc3ccc(CC)cc3CC=C2c2ccccc2)CC1.O=C(O)/C=C/C(=O)O
CHEMBL16953,Cc1ccc2c(c1)CC=C(c1ccccc1)C(N1CCN(CCO)CC1)=N2.O=C(O)/C=C/C(=O)O
CHEMBL274248,CCCN1CCN(C2=Nc3ccccc3CC=C2c2ccc(F)cc2)CC1.O=C(O)/C=C/C(=O)O
CHEMBL277588,Clc1ccccc1C1=CCc2ccccc2N=C1N1CCNCC1.O=C(O)/C=C/C(=O)O
CHEMBL276351,Clc1ccc(C2=CCc3ccccc3N=C2N2CCNCC2)cc1.O=C(O)/C=C/C(=O)O
CHEMBL17271,Clc1ccccc1C1=CCc2cc(Br)ccc2N=C1N1CCNCC1.O=C(O)/C=C/C(=O)O
CHEMBL275361,CC(C)c1ccc2c(c1)CC=C(c1ccccc1)C(N1CCN(C)CC1)=N2.O=C(O)/C=C/C(=O)O
